,Date,Team,Acquired,Relinquished,Notes
20896,2014-11-10,Cavaliers,, Dion Waiters,placed on IL with bruised lower back
20897,2014-11-10,Clippers,, Chris Douglas-Roberts,placed on IL with right Achilles injury
20900,2014-11-11,Blazers,, Nicolas Batum,placed on IL with right knee injury
20902,2014-11-11,Raptors,, Landry Fields,placed on IL with flu
20904,2014-11-12,Celtics,, Marcus Smart,placed on IL
20905,2014-11-12,Celtics,, Marcus Thornton (T.),placed on IL with ankle injury
20907,2014-11-12,Hawks,, (James) Mike Scott,placed on IL with back injury
20908,2014-11-12,Hawks,, DeMarre Carroll,placed on IL with groin injury
20911,2014-11-12,Heat,, Andre Dawkins,placed on IL
20913,2014-11-12,Pelicans,, Russ Smith,placed on IL
20915,2014-11-12,Rockets,, Clint Capela,placed on IL
20916,2014-11-12,Rockets,, Patrick Beverley,placed on IL
20917,2014-11-12,Timberwolves,, Ricky Rubio,placed on IL
20920,2014-11-13,Raptors,, Bruno Caboclo,placed on IL
20922,2014-11-14,Cavaliers,, Alex Kirk,placed on IL (P)
20925,2014-11-14,Hawks,, Adreian Payne,placed on IL
20927,2014-11-14,Heat,, Dwyane Wade,placed on IL with strained left hamstring
20929,2014-11-14,Hornets,, Michael Kidd-Gilchrist,placed on IL with right foot injury
20931,2014-11-14,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL with sprained rotator cuff in right shoulder
20934,2014-11-14,Nuggets,, Randy Foye,placed on IL
20936,2014-11-14,Suns,, T.J. Warren,placed on IL
20939,2014-11-15,Blazers,, LaMarcus Aldridge,placed on IL with upper respiratory infection
20941,2014-11-15,Raptors,, Bruno Caboclo,placed on IL
20945,2014-11-16,Heat,, Josh McRoberts,placed on IL
20947,2014-11-16,Lakers,, Julius Randle,placed on IL recovering from surgery on right leg to repair fractured tibia (out for season)
20949,2014-11-17,Blazers,, Victor Claver,placed on IL
20951,2014-11-17,Bulls,, Pau Gasol,placed on IL with strained left calf
20953,2014-11-17,Mavericks,, Richard Jefferson,placed on IL
20954,2014-11-17,Nets,, Andrei Kirilenko,placed on IL
20956,2014-11-17,Nuggets,, J.J. Hickson,placed on IL with sore right knee
20957,2014-11-17,Nuggets,, Jusuf Nurkic,placed on IL
20960,2014-11-17,Pelicans,, Omer Asik,placed on IL with sore lower back
20962,2014-11-17,Pistons,, Luigi Datome / Gigi Datome,placed on IL
20964,2014-11-17,Suns,, P.J. Tucker,placed on IL
20967,2014-11-19,Grizzlies,, Jon Leuer,placed on IL with flu
20968,2014-11-19,Grizzlies,, Kosta Koufos,placed on IL with flu
20969,2014-11-19,Hornets,, Gary Neal,placed on IL with concussion
20970,2014-11-19,Mavericks,, Devin Harris,placed on IL with sore lower left leg
20972,2014-11-19,Nuggets,, Erick Green,placed on IL
20973,2014-11-19,Nuggets,, Gary Harris,placed on IL
20976,2014-11-19,Suns,, Zoran Dragic,placed on IL
20978,2014-11-19,Wizards,, Glen Rice Jr.,placed on IL
20982,2014-11-20,Heat,, Andre Dawkins,placed on IL
20985,2014-11-21,Blazers,, C.J. McCollum,placed on IL with right finger injury
20987,2014-11-21,Bulls,, Kirk Hinrich,placed on IL with chest injury
20990,2014-11-21,Hawks,, John Jenkins,placed on IL
20992,2014-11-21,Hornets,, P.J. Hairston,placed on IL with sprained right ankle
20994,2014-11-21,Pelicans,, Patric Young,placed on IL
20995,2014-11-21,Raptors,, James Johnson,placed on IL with sprained right ankle
20996,2014-11-21,Raptors,, Tyler Hansbrough,placed on IL with sprained right shoulder
20999,2014-11-21,76ers,, JaKarr Sampson,placed on IL
21002,2014-11-22,Heat,, Norris Cole (Gene),placed on IL with finger injury
21004,2014-11-22,Knicks,, Cleanthony Early,placed on IL
21006,2014-11-22,Mavericks,, Charlie Villanueva,placed on IL
21008,2014-11-22,Nets,, Kevin Garnett,placed on IL
21010,2014-11-22,Pelicans,, Darius Miller,placed on IL
21011,2014-11-22,Pelicans,, Omer Asik,placed on IL
21014,2014-11-22,Rockets,, Nick Johnson,placed on IL
21015,2014-11-23,Celtics,, James Young,placed on IL
21016,2014-11-23,Grizzlies,, Jordan Adams,placed on IL
21018,2014-11-24,76ers,, Jerami Grant,placed on IL
21019,2014-11-24,Bulls,, Taj Gibson,placed on IL
21021,2014-11-24,Mavericks,, Raymond Felton,placed on IL with ankle injury
21023,2014-11-24,Raptors,, Lucas Nogueira,placed on IL
21025,2014-11-24,Rockets,, Patrick Beverley,placed on IL with hamstring injury
21028,2014-11-25,Bulls,, Joakim Noah,placed on IL with eye abrasion
21030,2014-11-25,Heat,, Chris Andersen,placed on IL with sprained right ankle
21032,2014-11-25,Kings,, Rudy Gay,placed on IL with right Achilles injury
21033,2014-11-25,Nuggets,, JaVale McGee,placed on IL with sore left leg (tibia)
21034,2014-11-25,Nuggets,, Randy Foye,placed on IL with strained right quadriceps
21037,2014-11-25,Pelicans,, Eric Gordon,placed on IL with torn labrum in left shoulder
21040,2014-11-26,Clippers,, Matt Barnes,placed on IL with strained left calf
21042,2014-11-26,Hawks,, Thabo Sefolosha,placed on IL with illness
21044,2014-11-26,Hornets,, Gary Neal,placed on IL with left shoulder injury
21047,2014-11-26,Magic,, Aaron Gordon,placed on IL with fractured left foot
21049,2014-11-26,Mavericks,, Jameer Nelson,placed on IL with back spasms
21051,2014-11-26,Nets,, Markel Brown,placed on IL
21054,2014-11-26,Raptors,, Bruno Caboclo,placed on IL
21056,2014-11-26,Suns,, Isaiah Thomas,placed on IL with ankle injury
21058,2014-11-26,Timberwolves,, Kevin Martin,placed on IL recovering from surgery on right wrist to repair fracture
21059,2014-11-26,Pistons,, Tony Mitchell (LaShae),placed on IL
21061,2014-11-28,Clippers,, C.J. Wilcox,placed on IL
21063,2014-11-28,Kings,, DeMarcus Cousins,placed on IL with illness
21065,2014-11-28,Mavericks,, Ricky Ledo,placed on IL
21067,2014-11-28,Pelicans,, Patric Young,placed on IL
21069,2014-11-28,Raptors,, Lucas Nogueira,placed on IL
21071,2014-11-28,Suns,, Zoran Dragic,placed on IL
21074,2014-11-28,Hawks,, John Jenkins,placed on IL
21076,2014-11-29,76ers,, Tony Wroten Jr.,placed on IL with sprained right knee
21078,2014-11-29,Cavaliers,, Anderson Varejao,placed on IL with bruised ribs
21082,2014-11-29,Pelicans,, Russ Smith,placed on IL
21084,2014-11-30,Blazers,, Will Barton,placed on IL with stomach virus
21087,2014-11-30,Heat,, Andre Dawkins,placed on IL
21089,2014-11-30,Raptors,, Bruno Caboclo,placed on IL
21090,2014-11-30,Raptors,, DeMar DeRozan,placed on IL with torn tendon in left groin
21093,2014-11-30,Suns,, Tyler Ennis,placed on IL
21096,2014-12-01,Nuggets,, Erick Green,placed on IL
21098,2014-12-02,Bulls,, Doug McDermott,placed on IL with torn meniscus in right knee
21099,2014-12-02,Cavaliers,, Alex Kirk,placed on IL
21102,2014-12-02,Raptors,, Lucas Nogueira,placed on IL
21104,2014-12-02,Suns,, Zoran Dragic,placed on IL
21106,2014-12-02,Thunder,, Perry Jones III,placed on IL
21108,2014-12-03,Celtics,, Dwight Powell,placed on IL
21110,2014-12-03,Clippers,, Reggie Bullock,placed on IL with sprained right ankle
21112,2014-12-03,Heat,, Norris Cole (Gene),placed on IL with illness
21113,2014-12-03,Jazz,, Trey Burke,placed on IL
21115,2014-12-03,Nets,, Kevin Garnett,placed on IL
21117,2014-12-03,Rockets,, Isaiah Canaan,placed on IL
21120,2014-12-04,Blazers,, Dorell Wright,placed on IL with illness
21122,2014-12-05,Heat,, Andre Dawkins,placed on IL
21124,2014-12-05,Jazz,, Alec Burks,placed on IL with left shoulder injury
21126,2014-12-05,Nets,, Sergey Karasev,placed on IL
21128,2014-12-05,Nuggets,, Jusuf Nurkic,placed on IL
21130,2014-12-05,Thunder,, Grant Jerrett,placed on IL
21133,2014-12-06,Clippers,, Jordan Farmar,placed on IL with back injury
21134,2014-12-06,Magic,, Nikola Vucevic,placed on IL with back spasms
21136,2014-12-06,Pelicans,, Russ Smith,placed on IL
21138,2014-12-07,Blazers,, Victor Claver,placed on IL
21140,2014-12-07,Hawks,, Mike Muscala,placed on IL
21141,2014-12-08,Cavaliers,, Mike Miller,placed on IL with concussion
21143,2014-12-08,Jazz,, Toure' Murry / Toure Murry,placed on IL
21145,2014-12-08,Nets,, Brook Lopez,placed on IL with strained lower back
21148,2014-12-09,Grizzlies,, Jarnell Stokes,placed on IL
21150,2014-12-10,Bulls,, Joakim Noah,placed on IL with sprained right ankle
21152,2014-12-10,Hawks,, (James) Mike Scott,placed on IL with flu
21155,2014-12-10,Nets,, Joe Johnson,placed on IL with flu
21156,2014-12-10,Nuggets,, Danilo Gallinari,placed on IL with bone bruise in right knee
21158,2014-12-10,Rockets,, Kostas Papanikolaou,placed on IL
21160,2014-12-10,Spurs,, Kawhi Leonard,placed on IL with bruised right hand
21162,2014-12-10,Warriors,, Andrew Bogut,placed on IL with right knee injury
21163,2014-12-11,Rockets,, Francisco Garcia,placed on IL
21165,2014-12-12,76ers,, Andrei Kirilenko,placed on IL
21167,2014-12-12,Celtics,, Avery Bradley,placed on IL with flu
21168,2014-12-12,Celtics,, James Young,placed on IL with dislocated right shoulder
21170,2014-12-12,Grizzlies,, Jordan Adams,placed on IL
21172,2014-12-12,Hawks,, Pero Antic,placed on IL with flu
21174,2014-12-12,Hornets,, Noah Vonleh,placed on IL
21175,2014-12-12,Nets,, Mirza Teletovic,placed on IL
21177,2014-12-12,Pistons,, Luigi Datome / Gigi Datome,placed on IL
21179,2014-12-12,Raptors,, Bruno Caboclo,placed on IL
21181,2014-12-12,Suns,, Tyler Ennis,placed on IL
21183,2014-12-13,Bucks,, Ersan Ilyasova,placed on IL with fractured nose
21184,2014-12-13,Bucks,, John Henson,placed on IL with sprained left foot
21186,2014-12-13,Clippers,, C.J. Wilcox,placed on IL
21187,2014-12-13,Clippers,, Spencer Hawes,placed on IL with bruised left knee
21190,2014-12-13,Kings,, Omri Casspi,placed on IL with bone bruise in left knee
21191,2014-12-13,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
21193,2014-12-13,Mavericks,, Chandler Parsons,placed on IL with sore lower back
21195,2014-12-13,Nuggets,, JaVale McGee,placed on IL with strained left lower leg
21198,2014-12-14,Heat,, Hassan Whiteside,placed on IL
21199,2014-12-14,Heat,, Shabazz Napier,placed on IL
21201,2014-12-14,Jazz,, Derrick Favors,placed on IL with sprained right ankle
21203,2014-12-14,Knicks,, Iman Shumpert,placed on IL with dislocated left shoulder
21204,2014-12-14,Raptors,, Lucas Nogueira,placed on IL
21206,2014-12-14,Spurs,, (William) Tony Parker,placed on IL with strained left hamstring
21208,2014-12-14,Suns,, Goran Dragic,placed on IL with sore/strained lower back
21210,2014-12-14,Thunder,, Lance Thomas,placed on IL
21212,2014-12-15,Celtics,, Marcus Thornton (T.),placed on IL with calf injury
21214,2014-12-15,Raptors,, Bruno Caboclo,placed on IL
21216,2014-12-16,Heat,, Chris Bosh,placed on IL with strained left calf
21217,2014-12-16,Heat,, Josh McRoberts,placed on IL with torn meniscus in right knee (out for season)
21220,2014-12-16,Mavericks,, Ricky Ledo,placed on IL
21222,2014-12-16,Nets,, Markel Brown,placed on IL
21224,2014-12-16,Thunder,, Mitch McGary,placed on IL with shin/tibia injury
21226,2014-12-17,Blazers,, Robin Lopez,placed on IL with fractured right hand
21228,2014-12-17,Hawks,, Jeff Teague,placed on IL with hamstring injury
21230,2014-12-17,Jazz,, Toure' Murry / Toure Murry,placed on IL
21234,2014-12-17,Raptors,, Lucas Nogueira,placed on IL (not CBC)
21236,2014-12-17,Suns,, Tyler Ennis,placed on IL
21238,2014-12-18,Bulls,, Derrick Rose,placed on IL with illness
21239,2014-12-18,Bulls,, Taj Gibson,placed on IL with sprained right ankle
21241,2014-12-18,Kings,, Reggie Evans,placed on IL with bruised left knee
21243,2014-12-18,Rockets,, Clint Capela,placed on IL
21246,2014-12-19,Blazers,, Nicolas Batum,placed on IL with left knee injury
21249,2014-12-20,Hornets,, Lance Stephenson,placed on IL with bruised pelvis
21252,2014-12-21,Grizzlies,, Zach Randolph,placed on IL with sore right knee
21254,2014-12-21,Kings,, Eric Moreland,placed on IL
21256,2014-12-21,Magic,, Willie Green,placed on IL with illness
21258,2014-12-21,Nets,, Deron Williams,placed on IL with strained right calf
21260,2014-12-21,Raptors,, Landry Fields,placed on IL with concussion
21262,2014-12-21,Timberwolves,, Nikola Pekovic,placed on IL with right ankle injury
21263,2014-12-22,Blazers,, LaMarcus Aldridge,placed on IL with upper respiratory illness
21269,2014-12-22,Nuggets,, Danilo Gallinari,placed on IL recovering from surgery on right knee to repair torn meniscus
21270,2014-12-22,Spurs,, Kawhi Leonard,placed on IL with bruised right hand
21273,2014-12-23,Blazers,, Nicolas Batum,placed on IL with wrist injury
21274,2014-12-23,Blazers,, Robin Lopez,placed on IL with fractured right hand (P)
21276,2014-12-23,Bucks,, Jabari Parker,placed on IL with torn ACL in left knee (out for season)
21278,2014-12-23,Bulls,, Kirk Hinrich,placed on IL with hamstring injury / tendinitis in left knee (P)
21279,2014-12-23,Hawks,, John Jenkins,placed on IL
21281,2014-12-23,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
21283,2014-12-23,Nets,, Markel Brown,placed on IL
21285,2014-12-23,Pacers,, Ian Mahinmi,placed on IL with torn plantar fascia in left foot
21287,2014-12-25,Cavaliers,, A.J. Price,placed on IL
21288,2014-12-25,Cavaliers,, Anderson Varejao,placed on IL with left Achilles injury (out for season)
21291,2014-12-25,Warriors,, Festus Ezeli,placed on IL with sprained ankle
21292,2014-12-26,Blazers,, LaMarcus Aldridge,placed on IL with upper respiratory infection
21294,2014-12-26,Bucks,, Damien Inglis,placed on IL with right ankle injury (out for season)
21296,2014-12-26,Cavaliers,, Kyrie Irving,placed on IL with bruised left knee
21298,2014-12-26,Hawks,, Pero Antic,placed on IL with sprained right ankle
21300,2014-12-26,Hornets,, Jannero Pargo,placed on IL with back injury
21302,2014-12-26,Kings,, DeMarcus Cousins,placed on IL with illness / stomach flu
21304,2014-12-26,Nets,, Cory Jefferson,placed on IL
21306,2014-12-26,Suns,, Archie Goodwin,placed on IL
21307,2014-12-26,Suns,, Tony Mitchell (LaShae),placed on IL
21309,2014-12-27,Hawks,, Adreian Payne,placed on IL
21311,2014-12-27,Jazz,, Alec Burks,placed on IL with left shoulder injury (out for season)
21313,2014-12-27,Kings,, Ramon Sessions,placed on IL with strained lower back
21315,2014-12-27,Raptors,, Bruno Caboclo,placed on IL
21317,2014-12-28,Mavericks,, Tyson Chandler,placed on IL with back spasms
21319,2014-12-28,Spurs,, (William) Tony Parker,placed on IL with strained hamstring
21322,2014-12-29,Clippers,, Chris Douglas-Roberts,placed on IL
21324,2014-12-29,Heat,, Justin Hamilton (Anthony),placed on IL with concussion
21326,2014-12-29,Hornets,, Jeffery Taylor / Jeff Taylor (b),placed on IL
21327,2014-12-29,Hornets,, Noah Vonleh,placed on IL
21328,2014-12-29,Wizards,, DeJuan Blair,placed on IL
21331,2014-12-30,Blazers,, Meyers Leonard,placed on IL with strained left shoulder
21333,2014-12-30,Cavaliers,, LeBron James,placed on IL with strained left knee
21336,2014-12-30,Mavericks,, Ricky Ledo,placed on IL
21338,2014-12-30,Nets,, Kevin Garnett,placed on IL
21340,2014-12-30,Wizards,, Drew Gooden,placed on IL with knee injury
21342,2014-12-31,Hornets,, Al Jefferson,placed on IL with strained adductor muscle in left groin
21344,2014-12-31,Kings,, Eric Moreland,placed on IL with left shoulder injury (out for season)
21346,2014-12-31,Suns,, Zoran Dragic,placed on IL
21349,2014-12-31,Thunder,, Lance Thomas,placed on IL
21352,2015-01-01,Kings,, Omri Casspi,placed on IL with left knee injury
21353,2015-01-02,Bucks,, Larry Sanders (b. 1988-11-21),placed on IL
21354,2015-01-02,Knicks,, Tim Hardaway Jr.,placed on IL with concussion
21356,2015-01-02,Magic,, Maurice Harkless / Moe Harkless,placed on IL
21358,2015-01-02,Nets,, Cory Jefferson,placed on IL
21360,2015-01-02,Pistons,, Spencer Dinwiddie,placed on IL
21362,2015-01-02,Suns,, Tyler Ennis,placed on IL
21364,2015-01-03,Blazers,, Victor Claver,placed on IL
21366,2015-01-03,Bulls,, Mike Dunleavy Jr.,placed on IL with right ankle injury
21367,2015-01-03,Jazz,, Patrick Christopher,placed on IL with right knee injury
21368,2015-01-04,Knicks,, Carmelo Anthony,placed on IL with sore left knee
21370,2015-01-04,Suns,, Zoran Dragic,placed on IL
21372,2015-01-05,Blazers,, Joel Freeland,placed on IL with bruised right shoulder
21374,2015-01-05,Celtics,, Jameer Nelson,placed on IL with sprained right ankle
21376,2015-01-05,Clippers,, Jared Cunningham,placed on IL
21378,2015-01-05,Pelicans,, Russ Smith,placed on IL
21380,2015-01-05,Wizards,, DeJuan Blair,placed on IL
21382,2015-01-06,Spurs,, Kyle Anderson,placed on IL with ankle injury
21385,2015-01-07,Celtics,, James Young,placed on IL
21387,2015-01-07,Clippers,, Chris Douglas-Roberts,placed on IL
21389,2015-01-07,Jazz,, Rodney Hood,placed on IL
21390,2015-01-07,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with sore right knee
21391,2015-01-07,Thunder,, Grant Jerrett,placed on IL
21393,2015-01-07,Wizards,, Paul Pierce,placed on IL for rest
21397,2015-01-09,Grizzlies,, Jordan Adams,placed on IL
21399,2015-01-09,Nets,, Deron Williams,placed on IL with fractured rib
21402,2015-01-09,Spurs,, Aron Baynes,placed on IL with neck spasms
21404,2015-01-09,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
21405,2015-01-09,Wizards,, DeJuan Blair,placed on IL
21407,2015-01-10,Bulls,, Derrick Rose,placed on IL with sore left knee / right hip injury
21408,2015-01-10,Clippers,, C.J. Wilcox,placed on IL
21410,2015-01-10,Hornets,, Lance Stephenson,placed on IL with strained pelvis
21412,2015-01-10,Magic,, Evan Fournier,placed on IL with knee injury
21414,2015-01-10,Pacers,, George Hill,placed on IL with sore/strained left groin
21415,2015-01-10,Raptors,, Lucas Nogueira,placed on IL (not CBC)
21417,2015-01-10,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with back spasms
21419,2015-01-11,Grizzlies,, Quincy Pondexter,placed on IL
21420,2015-01-11,Grizzlies,, Tayshaun Prince,placed on IL
21423,2015-01-12,Rockets,, Isaiah Canaan,placed on IL
21424,2015-01-12,Rockets,, Nick Johnson,placed on IL
21426,2015-01-13,Cavaliers,, Iman Shumpert,placed on IL with dislocated left shoulder
21428,2015-01-13,Hawks,, DeMarre Carroll,placed on IL for rest
21429,2015-01-13,Hawks,, Paul Millsap,placed on IL for rest
21431,2015-01-13,Spurs,, Marco Belinelli,placed on IL with strained left groin
21433,2015-01-13,Suns,, Tyler Ennis,placed on IL
21434,2015-01-14,Celtics,, Tayshaun Prince,placed on IL
21435,2015-01-14,Grizzlies,, Russ Smith,placed on IL
21436,2015-01-14,Hawks,, Al Horford,placed on IL for rest
21437,2015-01-14,Hawks,, Kyle Korver,placed on IL for rest
21440,2015-01-14,Heat,, Dwyane Wade,placed on IL with strained hamstring
21442,2015-01-14,Magic,, Tobias Harris,placed on IL with sprained left ankle
21445,2015-01-14,Pelicans,, Jrue Holiday,placed on IL with stress reaction in right ankle
21446,2015-01-14,Raptors,, Bruno Caboclo,placed on IL
21448,2015-01-14,Wizards,, Drew Gooden,placed on IL
21450,2015-01-15,Knicks,, Andrea Bargnani,placed on IL
21451,2015-01-15,Knicks,, Cleanthony Early,placed on IL with ankle injury
21454,2015-01-16,Bulls,, Joakim Noah,placed on IL with sprained right ankle
21455,2015-01-16,Grizzlies,, Mike Conley Jr.,placed on IL with sprained right ankle
21457,2015-01-16,Hawks,, Adreian Payne,placed on IL
21460,2015-01-16,Heat,, Josh McRoberts,placed on IL (P) (out for season)
21461,2015-01-16,Jazz,, Elliot Williams,placed on IL
21463,2015-01-16,Kings,, Rudy Gay,placed on IL with sore/strained left knee
21466,2015-01-16,Spurs,, Austin Daye,placed on IL
21468,2015-01-16,Suns,, Archie Goodwin,placed on IL
21470,2015-01-16,Warriors,, Andrew Bogut,placed on IL for rest
21471,2015-01-17,Hawks,, Pero Antic,placed on IL
21473,2015-01-17,Kings,, Carl Landry,placed on IL with sprained right wrist
21478,2015-01-18,Magic,, Andrew Nicholson,placed on IL
21480,2015-01-19,Bucks,, Kendall Marshall,placed on IL recovering from surgery on right knee to repair torn ACL (out for season)
21481,2015-01-19,Celtics,, James Young,placed on IL with illness
21483,2015-01-19,Grizzlies,, Russ Smith,placed on IL
21485,2015-01-19,Hawks,, Shelvin Mack,placed on IL with strained left calf
21487,2015-01-19,Hornets,, Kemba Walker,placed on IL with left knee injury
21489,2015-01-19,Suns,, Reggie Bullock,placed on IL
21491,2015-01-19,Wizards,, DeJuan Blair,placed on IL
21493,2015-01-20,Heat,, Justin Hamilton (Anthony),placed on IL
21495,2015-01-20,Nuggets,, Erick Green,placed on IL
21496,2015-01-21,Hawks,, Adreian Payne,placed on IL
21498,2015-01-21,Heat,, Luol Deng,placed on IL with illness
21500,2015-01-21,Hornets,, Noah Vonleh,placed on IL
21502,2015-01-21,Jazz,, Rodney Hood,placed on IL with foot injury / bruised left knee (P)
21505,2015-01-21,Magic,, Maurice Harkless / Moe Harkless,placed on IL
21507,2015-01-21,Suns,, Tyler Ennis,placed on IL
21508,2015-01-21,Suns,, Zoran Dragic,placed on IL
21511,2015-01-21,Timberwolves,, Shabazz Muhammad,placed on IL
21515,2015-01-23,76ers,, Tony Wroten Jr.,placed on IL with torn ACL in right knee (out for season)
21518,2015-01-23,Celtics,, Kelly Olynyk,placed on IL with sprained right ankle
21520,2015-01-23,Grizzlies,, Jarnell Stokes,placed on IL
21521,2015-01-23,Grizzlies,, Jordan Adams,placed on IL
21523,2015-01-23,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL
21525,2015-01-23,Magic,, Dewayne Dedmon,placed on IL
21528,2015-01-23,Pacers,, Shayne Whittington,placed on IL
21530,2015-01-23,Suns,, T.J. Warren,placed on IL
21532,2015-01-24,Hornets,, Kemba Walker,placed on IL with torn lateral meniscus in left knee
21534,2015-01-24,Knicks,, Jose Calderon,placed on IL with bruised left knee
21536,2015-01-24,Nets,, Mirza Teletovic,placed on IL with blood clots in lungs
21538,2015-01-25,Magic,, Ben Gordon,placed on IL
21540,2015-01-25,Pacers,, C.J. Miles,placed on IL with groin injury
21542,2015-01-25,Rockets,, Terrence Jones,placed on IL with nerve inflammation in left leg
21544,2015-01-25,Suns,, Brandan Wright,placed on IL with heel injury
21546,2015-01-26,Grizzlies,, Tony Allen,placed on IL with ankle injury
21548,2015-01-26,Magic,, Maurice Harkless / Moe Harkless,placed on IL
21550,2015-01-26,Thunder,, Kevin Durant,placed on IL with sprained left big toe
21552,2015-01-27,Bulls,, Jimmy Butler,placed on IL with illness
21553,2015-01-27,Heat,, Luol Deng,placed on IL with calf injury
21554,2015-01-27,Pistons,, Brandon Jennings,placed on IL with torn left Achilles (out for season)
21556,2015-01-27,Wizards,, Paul Pierce,placed on IL with sore left big toe
21559,2015-01-28,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with wrist injury
21561,2015-01-28,Rockets,, Dwight Howard,placed on IL with sprained right ankle
21563,2015-01-28,Suns,, Archie Goodwin,placed on IL
21564,2015-01-28,Suns,, Zoran Dragic,placed on IL
21567,2015-01-28,Timberwolves,, Robbie Hummel,placed on IL with fractured right hand
21569,2015-01-28,Wizards,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with foot injury
21573,2015-01-29,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
21576,2015-01-29,Pacers,, Shayne Whittington,placed on IL
21578,2015-01-30,Hawks,, DeMarre Carroll,placed on IL with strained left Achilles
21580,2015-01-30,Heat,, Dwyane Wade,placed on IL with strained hamstring
21581,2015-01-30,Kings,, Reggie Evans,placed on IL
21582,2015-01-30,Raptors,, Amir Johnson,placed on IL
21583,2015-01-30,Raptors,, James Johnson,placed on IL with right hamstring injury
21585,2015-01-30,Suns,, Reggie Bullock,placed on IL
21587,2015-01-31,Grizzlies,, Vince Carter,placed on IL with left foot injury
21588,2015-01-31,Hawks,, Thabo Sefolosha,placed on IL with strained right calf
21589,2015-01-31,Magic,, Victor Oladipo,placed on IL with strained/sore right Achilles
21591,2015-01-31,Nuggets,, Darrell Arthur,placed on IL with illness
21592,2015-01-31,Nuggets,, Kenneth Faried,placed on IL with illness
21594,2015-01-31,Pacers,, Lavoy Allen,placed on IL with strained right knee
21596,2015-01-31,Rockets,, Clint Capela,placed on IL
21598,2015-01-31,Thunder,, Grant Jerrett,placed on IL
21601,2015-01-31,Wizards,, DeJuan Blair,placed on IL
21603,2015-02-01,Celtics,, Shavlik Randolph,placed on IL with strained hamstring
21605,2015-02-02,Magic,, Andrew Nicholson,placed on IL
21607,2015-02-02,Mavericks,, Rajon Rondo,placed on IL with fractured left orbital bone and fractured nose
21610,2015-02-02,Suns,, Tyler Ennis,placed on IL
21611,2015-02-02,Suns,, Zoran Dragic,placed on IL
21614,2015-02-02,Thunder,, Kevin Durant,placed on IL with sprained left big toe
21615,2015-02-02,Thunder,, Perry Jones III,placed on IL with ankle injury
21619,2015-02-03,Blazers,, Victor Claver,placed on IL
21622,2015-02-03,Nuggets,, JaVale McGee,placed on IL with illness
21625,2015-02-03,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
21628,2015-02-04,Magic,, Aaron Gordon,placed on IL with sore left foot
21630,2015-02-04,Spurs,, Tiago Splitter,placed on IL
21632,2015-02-04,Thunder,, Mitch McGary,placed on IL
21634,2015-02-05,Blazers,, Chris Kaman,placed on IL with back injury
21636,2015-02-05,Hornets,, Bismack Biyombo,placed on IL with bone bruise in right knee
21637,2015-02-05,Suns,, T.J. Warren,placed on IL
21639,2015-02-05,Wizards,, Drew Gooden,placed on IL
21642,2015-02-06,Magic,, Andrew Nicholson,placed on IL
21644,2015-02-06,Raptors,, Bruno Caboclo,placed on IL
21646,2015-02-06,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
21648,2015-02-06,Thunder,, Grant Jerrett,placed on IL
21650,2015-02-06,Knicks,, Cleanthony Early,placed on IL
21651,2015-02-07,Blazers,, Victor Claver,placed on IL
21653,2015-02-07,Kings,, Darren Collison,placed on IL with strained right hip flexor (out for season)
21655,2015-02-07,Knicks,, Carmelo Anthony,placed on IL for rest
21657,2015-02-07,Wizards,, Bradley Beal,placed on IL with sore right big toe
21659,2015-02-08,Bulls,, Kirk Hinrich,placed on IL with turf toe
21661,2015-02-08,Kings,, Rudy Gay,placed on IL with sore left foot
21663,2015-02-08,Pacers,, Ian Mahinmi,placed on IL with sprained right ankle
21665,2015-02-08,Suns,, Archie Goodwin,placed on IL
21666,2015-02-08,Suns,, Reggie Bullock,placed on IL
21669,2015-02-08,Thunder,, Anthony Morrow,placed on IL with right shoulder injury
21672,2015-02-08,Hawks,, Mike Muscala,placed on IL
21673,2015-02-08,Spurs,, Reggie Williams,placed on IL
21674,2015-02-09,Knicks,, Cleanthony Early,placed on IL
21675,2015-02-09,Knicks,, Travis Wear,placed on IL
21678,2015-02-09,Nuggets,, Jameer Nelson,placed on IL with Achilles injury
21680,2015-02-09,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL for rest
21683,2015-02-09,Timberwolves,, Glenn Robinson III,placed on IL
21684,2015-02-09,Thunder,, Steven Adams,placed on IL with fractured right finger
21687,2015-02-10,Rockets,, Terrence Jones,placed on IL with flu
21690,2015-02-11,Blazers,, Chris Kaman,placed on IL with ankle injury
21693,2015-02-11,Knicks,, Carmelo Anthony,placed on IL with knee injury (out for season)
