,Date,Team,Acquired,Relinquished,Notes
235,1980-12-29,Pistons,, Bob McAdoo,placed on IL
236,1981-01-02,Mavericks,, Ralph Drollinger,placed on IL
238,1981-01-15,Bullets,, Rick Mahorn,placed on IL
239,1981-01-15,Knicks,, Sylvester Williams / Sly Williams,placed on IL
240,1981-01-18,Jazz,, Rickey Green,placed on IL with sprained right wrist
243,1981-01-26,Pistons,, Kent Benson,placed on IL
244,1981-01-28,Bullets,, Austin Carr,placed on IL
246,1981-02-06,Hawks,, James McElroy / Jim McElroy,placed on IL
247,1981-02-08,Spurs,, Kevin Restani,on IR (date approximate)
248,1981-03-06,Bulls,, Scott May,placed on IL
250,1981-03-13,Nets,, Rory Sparrow,placed on IL
251,1981-03-17,Nuggets,, Cedrick Hordges,placed on IL
255,1981-11-16,Bucks,, Junior Bridgeman,placed on IL
258,1981-12-02,Jazz,, Howard Wood,placed on IL with left eye hemorrage
262,1982-02-07,Pistons,, Edgar Jones,placed on IL
263,1982-03-17,Bucks,, Junior Bridgeman,placed on IL
265,1982-04-06,Sonics,, Mark Radford,placed on IL
267,1982-10-22,Nets,, Mike O'Koren,placed on IL with bruised buttocks
268,1982-10-26,Mavericks,, Corny Thompson,placed on IL with bone chips in right elbow
269,1982-10-28,Bucks,, Charlie Criss,placed on IL with bursitis in right hip
270,1982-10-28,Bullets,, Kevin Grevey,placed on IL with pulled abdominal muscle
271,1982-10-28,Cavaliers,, James Silas,placed on IL
272,1982-10-28,Cavaliers,, Richard Washington,placed on IL
273,1982-10-28,Knicks,, Michael Russell / Campy Russell,placed on IL with recovering from surgery on right knee to repair torn ACL in right knee
274,1982-10-28,Knicks,, Toby Knight,placed on IL with knee injury
275,1982-10-28,Pistons,, Tom Owens,placed on IL with broken right thumb
276,1982-10-28,Suns,, Craig Dykema,placed on IL with fractured left arm
277,1982-10-28,Warriors,, Derek Smith,placed on IL
278,1982-10-28,Warriors,, Jeff Jones,placed on IL
279,1982-10-28,Warriors,, Mike Gale,placed on IL
280,1982-10-29,Clippers,, Robert Smith (Leroy),placed on IL
281,1982-10-29,Clippers,, Swen Nater,placed on IL
282,1982-10-29,Lakers,, Clay Johnson,placed on IL
284,1982-11-10,Bucks,, Harvey Catchings,placed on IL with bruised kneecap
286,1982-11-10,Warriors,, Joe Hassett,placed on IL with broken forearm
289,1982-11-26,Pistons,, Kelly Tripucka,placed on IL with knee injury
290,1982-11-28,Pistons,, Kent Benson,placed on IL with strained ligaments in left knee
291,1982-12-10,Bucks,, Steve Mix,placed on IL with sprained right ankle
294,1982-12-26,Bucks,, Brian Winters,placed on IL with strained hamstring
296,1982-12-29,Nuggets,, Rich Kelley,placed on IL
298,1983-01-07,Blazers,, Darnell Valentine,placed on IL with broken left foot
302,1983-01-18,Spurs,, Ed Rains,placed on IL with knee injury
303,1983-02-01,Bucks,, Charlie Criss,placed on IL with strep throat
306,1983-02-07,Suns,, Joel Kramer,placed on IL
308,1983-02-16,Lakers,, Ed Jordan / Eddie Jordan,placed on IL with pulled groin
309,1983-02-17,Pistons,, Kent Benson,placed on IL with strained knee ligaments
310,1983-02-23,Knicks,, Vince Taylor,placed on IL with nose injury
312,1983-02-25,Suns,, James Edwards,placed on IL
313,1983-03-02,Bulls,, Orlando Woolridge,placed on IL with torn ligament in right knee
314,1983-03-03,Blazers,, Pete Verhoeven,placed on IL with knee injury
316,1983-03-06,Bulls,, Ronnie Lester,placed on IL with fractured right kneecap
318,1983-03-12,Blazers,, Darnell Valentine,placed on IL
321,1983-03-23,Nets,, Otis Birdsong,placed on IL with stress fracture in pelvis
322,1983-04-01,Suns,, David Thirdkill,placed on IL with viral infection
326,1983-04-16,Lakers,, Ed Jordan / Eddie Jordan,placed on IL with bruised toe
328,1983-10-25,Suns,, Charles Pittman,placed on IL
329,1983-10-26,Celtics,, Winfred King,placed on IL
330,1983-10-26,Lakers,, Clay Johnson,placed on IL
331,1983-10-26,Lakers,, Kurt Rambis,placed on IL
332,1983-10-26,Lakers,, Mitch Kupchak,placed on IL
333,1983-10-27,Knicks,, Eric Fernsten,placed on IL
334,1983-10-28,Kings,, Mike Woodson,placed on IL with arthroscopic surgery to repair torn cartilage in right knee
335,1983-10-31,Warriors,, Ron Brewer,placed on IL with shoulder injury
336,1983-11-01,Nets,, Clarence Walker / Foots Walker,placed on IL with foot injury
337,1983-11-08,Bucks,, Charlie Criss,placed on IL with strained foot
339,1983-11-15,Hawks,, Armond Hill,placed on IL with fractured nose
341,1983-11-16,Suns,, James Edwards,placed on IL with hand injury
345,1983-11-24,Suns,, Paul Westphal,placed in IL with strained left leg
347,1983-12-01,Warriors,, Ron Brewer,placed on IL with hand injury
348,1983-12-04,Suns,, Rick Robey,placed on IL for knee surgery
353,1984-01-01,Blazers,, Darnell Valentine,placed on IL with broken bone in left hand
354,1984-01-03,Spurs,, Johnny Moore,placed on IL with broken right index finger (out ~4 weeks)
355,1984-01-07,Lakers,, Larry Spriggs,placed on IL with hip pointer
357,1984-01-10,Suns,, Paul Westphal,placed on IL with sore right leg
358,1984-01-10,Warriors,, Eric Floyd / Sleepy Floyd,placed on IL with sprained ankle
360,1984-01-13,Sonics,, Clay Johnson,placed on IL
361,1984-01-19,Warriors,, Russell Cross,placed on IL with strained knee
363,1984-01-24,Sonics,, Fred Brown,placed on IL
366,1984-02-02,76ers,, Leo Rautins,placed on IL with ankle injury
368,1984-02-13,Sonics,, Clay Johnson,placed on IL with knee injury
370,1984-02-18,Pacers,, Herb Williams,placed on IL with sprained ankle
371,1984-03-02,Lakers,, Calvin Garrett,placed on IL with knee imflammation
374,1984-03-31,Kings,, Joe Meriweather / Joe C. Meriweather,placed on IL with sprained left foot
375,1984-10-12,Kings,, Ed Nealy,placed on IL with bruised right calf (out 6-8 weeks)
